"Enter your e-mail", "You email address..."
"Subscribe", "Subscribe !"
"Filter by %1", "%1"
"Upsell Products", "You may also like"
"Details", "Description"
"Estimated Total", "Order Total"
"Name Prefix", "Prefix"
"Street Address: Line 1", "Address"
"Order Total Incl. Tax", "Grand Total (Incl. GST)"
"Order Total Excl. Tax", "Grand Total (Excl. GST)"
"Ship To:", "Delivery to"
"Bill To:", "Billing to"
"Cart Subtotal", "Subtotal"
"Clear All", "Clear filter"
"Continue to PayPal", "Place Order"
"Discount", "Discount:"
"Shipping", "Shipping:"
"Password forgotten", "Forgot your password?"
"Shipping Method:", "Delivery method:"
"Shipping Method", "Delivery method"
"The shipping method can't be set for an empty cart. Add an item to cart and try again.", "The delivery method can't be set for an empty cart. Add an item to cart and try again."
"The shipping method is missing. Select the shipping method and try again.", "The delivery method is missing. Select the delivery method and try again."
"You don't need to select a shipping method.","You don't need to select a delivery method."
"Get shipping methods and rates","Get delivery methods and rates"
"Click to change shipping method","Click to change delivery method"
"Please specify a shipping method.","Please specify a delivery method."
"Shipping method is not applicable for empty cart","delivery method is not applicable for empty cart"
"Invalid shipping method","Invalid delivery method"
"Tax": "GST (7%)"
